EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2,3.6375861597263857,1.0,Travel Rarely,1141,Research Development,2.4849066497880004,2,Medical,1,Female,61,1,1.0986122886681098,Healthcare Representative,2,Married,8.471777327885755,14382,1.791759469228055,Y,No,2.772588722239781,3,1,0.0,2.772588722239781,2,1,0.6931471805599453,0.0,0.0,0.0
3,3.9512437185814275,1.0,Travel Rarely,1323,Research Development,1.6094379124341003,4,Life Sciences,1,Male,34,3,0.6931471805599453,Research Scientist,3,Married,7.808729306744399,10332,2.302585092994046,Y,Yes,2.5649493574615367,3,3,1.3862943611198906,2.9444389791664403,2,4,2.3978952727983707,0.0,1.0986122886681098,2.0794415416798357
4,3.7612001156935624,0.0,Travel Frequently,555,Sales,3.295836866004329,3,Marketing,3,Female,77,3,1.6094379124341003,Sales Executive,2,Married,9.512369038134885,14864,1.791759469228055,Y,No,2.70805020110221,3,4,0.6931471805599453,3.1780538303479458,2,4,3.044522437723423,1.6094379124341003,1.6094379124341003,2.1972245773362196
7,3.713572066704308,0.0,Travel Rarely,1124,Sales,0.6931471805599453,2,Medical,2,Male,57,1,1.0986122886681098,Sales Executive,4,Married,8.917042560738766,13273,1.0986122886681098,Y,Yes,3.1354942159291497,4,3,1.3862943611198906,1.9459101490553132,2,2,1.6094379124341003,1.3862943611198906,0.0,1.0986122886681098
8,4.02535169073515,1.0,Travel Rarely,725,Research Development,1.0986122886681098,3,Medical,4,Male,78,3,1.791759469228055,Manager,1,Married,9.896462937599164,21199,1.791759469228055,Y,Yes,2.6390573296152584,3,4,0.6931471805599453,3.2188758248682006,2,3,1.791759469228055,1.0986122886681098,0.6931471805599453,1.6094379124341003
9,3.6109179126442243,0.0,Travel Frequently,635,Research Development,2.9444389791664403,1,Medical,2,Female,73,3,0.6931471805599453,Laboratory Technician,4,Single,7.675081857716334,7703,0.6931471805599453,Y,No,2.6390573296152584,3,1,0.0,2.1972245773362196,2,3,2.1972245773362196,0.6931471805599453,0.6931471805599453,2.0794415416798357
10,3.4965075614664802,0.0,Travel Rarely,1018,Research Development,1.3862943611198906,2,Life Sciences,3,Female,39,3,1.3862943611198906,Research Director,4,Single,9.320091235935301,19373,1.3862943611198906,Y,No,2.772588722239781,3,4,0.0,2.3978952727983707,6,3,2.0794415416798357,2.0794415416798357,2.0794415416798357,2.0794415416798357
11,3.258096538021482,0.0,Travel Rarely,583,Sales,1.6094379124341003,1,Marketing,3,Male,87,2,1.0986122886681098,Sales Executive,1,Married,8.356319965828153,18154,0.6931471805599453,Y,No,2.5649493574615367,3,1,0.0,1.791759469228055,1,4,1.791759469228055,1.0986122886681098,0.0,1.3862943611198906
12,3.044522437723423,1.0,Travel Rarely,129,Research Development,1.6094379124341003,3,Technical Degree,1,Male,84,3,0.6931471805599453,Laboratory Technician,1,Single,7.9976631270201,13008,0.6931471805599453,Y,No,2.995732273553991,3,2,0.0,0.6931471805599453,2,3,0.6931471805599453,0.0,0.0,0.0
14,3.7612001156935624,0.0,Travel Rarely,810,Research Development,3.1780538303479458,5,Life Sciences,1,Female,44,3,1.6094379124341003,Research Director,4,Single,9.67990640549087,15901,1.0986122886681098,Y,No,2.70805020110221,3,2,0.0,2.833213344056216,2,3,0.6931471805599453,0.0,0.0,0.0
15,3.4657359027997265,0.0,Travel Rarely,616,Research Development,2.5649493574615367,3,Medical,4,Female,41,3,1.0986122886681098,Healthcare Representative,4,Married,8.675222055641148,17369,0.0,Y,Yes,2.4849066497880004,3,3,1.0986122886681098,2.3978952727983707,2,1,2.302585092994046,2.0794415416798357,2.1972245773362196,1.791759469228055
16,3.6635616461296463,0.0,Non Travel,573,Research Development,1.9459101490553132,3,Medical,2,Female,79,1,1.0986122886681098,Research Scientist,4,Divorced,8.58110651715989,15717,2.0794415416798357,Y,Yes,2.5649493574615367,3,4,1.3862943611198906,2.8903717578961645,3,3,2.6390573296152584,2.4849066497880004,0.6931471805599453,2.302585092994046
